First,Last,Email,Password,State of IP,Date of Breach,Date of Most Recent Password Change
mary,vance,mary.vance@secmail.pro,Copper3,wyoming,1990-09,2010-06
kevin,rose,kevin.rose1630@icloud.com,stirred,south carolina,2017-01,2011-07
evelyn,winters,evelyn.winters1264@icloud.com,cleber0258,,2001-01,1995-02
nicole,hodges,nicole.hodges858@gmail.com,vvvccc,idaho,2004-11,1997-07
roger,bravo,roger.bravo1220@yahoo.com,public0,delaware,2003-02,2000-07
grace,delarosa,grace.delarosa@hotmail.com,postel,delaware,2006-11,1998-09
cynthia,fox,cynthia.fox567@hotmail.com,Robert59,texas,2008-11,1993-11
daniel,montgomery,luigifly10@yahoo.com,83rabbit,alaska,2000-08,2000-11
noah,ellis,noah.ellis1591@protonmail.ch,Os26111998,wyoming,2010-06,1992-07
austin,ward,austin.ward2196@unzz.edu,samsosa,virginia,2016-06,2009-04
sharon,carrillo,sharon.carrillo@hotmail.com,jediknight,california,1996-05,1991-03
billy,parker,billy.parker1691@gmail.com,smelt,arizona,2002-10,2005-08
janice,long,janice.long1114@lavabit.io,225505,utah,1997-06,2001-10
frank,esparza,frank.esparza1798@protonmail.ch,Frankens,louisiana,1991-08,2017-05
christina,snow,jayshonharrington@protonmail.ch,52959,montana,2014-02,2008-07
kevin,hansen,kevin.hansen@protonmail.ch,6408ql02,alabama,2009-08,1999-07
margaret,haynes,margaret.haynes77@unzz.edu,22041988,nebraska,2008-09,2014-05
robert,turner,robert.turner1108@lavabit.io,kath1een,maine,2016-09,1999-09
margaret,bell,margaret.bell575@icloud.com,linguinn,kentucky,1994-07,2008-07
gregory,bentley,gregory.bentley1745@protonmail.ch,blaqman,minnesota,2001-10,2017-10
catherine,khan,catherine.khan@icloud.com,BALLOONS,georgia,1999-10,2004-09
sandra,lara,neomiezabala_01@unzz.edu,tampa9,arkansas,1993-08,1996-10
diana,shah,diana.shah1028@protonmail.ch,Andrey123,wisconsin,1992-07,1996-07
jerry,mccarty,jerry.mccarty772@yahoo.com,bjb126,ohio,2000-08,2011-09
sean,huerta,sean.huerta692@protonmail.ch,servic1,new jersey,1995-01,2007-04
louis,lang,louis.lang@aol.com,reefer42,georgia,1990-04,1998-10
joyce,gutierrez,joyce.gutierrez545@hotmail.com,matrix23,indiana,2006-05,2002-07
walter,hodge,walter.hodge1315@yahoo.com,punkrawk,delaware,2012-10,2001-09
alexander,patrick,gfxindo5+fwvepnpukw@gmail.com,zenitram,montana,2002-07,2013-10
janet,avery,janet.avery1841@aol.com,jackblac,indiana,2003-07,2009-01
natalie,morse,natalie.morse@protonmail.ch,goodeven,south dakota,1997-02,2002-09
lisa,sutton,lisa.sutton270@protonmail.ch,300991n,colorado,1996-04,1996-08
diana,bell,diana.bell1379@secmail.pro,specter,iowa,2015-08,1990-07
louis,howe,louis.howe1176@gmail.com,bhWSiHgE,texas,2013-08,2013-01
brenda,bennett,brenda.bennett1278@gmail.com,123456tiago,michigan,2015-08,1992-04
henry,rice,henry.rice@yahoo.com,B12345,south carolina,2013-02,2003-10
gary,watts,gary.watts1457@yahoo.com,msdaorar,wisconsin,1990-03,2006-07
nicholas,velez,nicholas.velez1183@hotmail.com,8501986,delaware,2006-02,1995-03
raymond,hanson,raymond.hanson2169@unzz.edu,mayo195,minnesota,2009-01,2009-01
gloria,dickerson,gloria.dickerson1594@hotmail.com,fuckyou08,new mexico,2014-02,2012-01
sara,barber,sara.barber@protonmail.ch,coralie,kansas,1992-09,2007-01
carolyn,reid,carolyn.reid2107@unzz.edu,Cole1,california,2014-03,1995-02
david,sierra,vettorericcardo@gmail.com,210979,arkansas,2008-08,2006-07
henry,mueller,henry.mueller2140@icloud.com,smokie1,michigan,1993-03,2001-03
benjamin,moses,benjamin.moses1384@aol.com,jakk812,vermont,2015-10,2016-09
janice,acosta,janice.acosta@secmail.pro,d3Lyg5jYAwHt,south carolina,1996-05,2017-10
wayne,cantrell,wayne.cantrell1903@yahoo.com,bultsass,new jersey,2012-10,2009-04
jean,mckay,jean.mckay26@hotmail.com,Uphreak,montana,1990-07,2011-04
ann,graves,ann.graves1311@protonmail.ch,65910116,kentucky,2013-05,2011-01
albert,dudley,kelsie_fast12@yahoo.com,decabr,utah,1994-09,2004-01
betty,bruce,betty.bruce@lavabit.io,7253795,maine,1997-01,1999-08
jessica,jordan,jessica.jordan2113@lavabit.io,guruma,arizona,2017-07,2000-04
melissa,byrd,melissa.byrd649@lavabit.io,c1f2i3f4,washington,1998-07,2016-01
terry,herrera,terry.herrera1664@yahoo.com,18601860,arkansas,2014-09,2016-07
jordan,garcia,jordan.garcia2062@gmail.com,thegun,indiana,1991-06,2003-03
jose,lee,jose.lee@secmail.pro,kaktus2010,colorado,2013-10,2001-05
pamela,harding,kendall.barnes65@protonmail.ch,159357dv,arkansas,1997-03,2000-01
justin,ruiz,justin.ruiz1864@gmail.com,grishaover,texas,1996-01,2014-11
brenda,petersen,brenda.petersen860@hotmail.com,acompute,utah,2016-08,2012-03
noah,perry,noah.perry2151@lavabit.io,sgfy1z,pennsylvania,1998-11,1996-10
ashley,morse,ashley.morse@lavabit.io,000246,washington,1997-09,2014-03
harold,davis,harold.davis617@aol.com,dobbies,,1994-06,2011-11
johnny,carson,johnny.carson614@unzz.edu,29019,california,2000-08,1998-11
william,estrada,romell952@protonmail.ch,mike1992,delaware,1993-04,1994-02
kayla,elliott,kayla.elliott1608@lavabit.io,lesze,nevada,2008-08,1992-11
deborah,camacho,deborah.camacho@unzz.edu,gambit6,montana,1991-10,1993-07
lisa,wall,lisa.wall1139@lavabit.io,hotnut,north carolina,2008-09,2009-06
tyler,phan,tyler.phan108@protonmail.ch,duiker,missouri,2014-01,2012-08
kyle,cross,kyle.cross1806@hotmail.com,predatel,mississippi,2003-06,2010-03
joan,brennan,joan.brennan1373@lavabit.io,727972,nebraska,1990-05,2015-11
kenneth,bowen,kenneth.bowen@unzz.edu,250590j,colorado,2002-05,2006-08
dorothy,walsh,dorothy.walsh296@protonmail.ch,datsun1,arizona,1993-02,2003-07
brian,bautista,brian.bautista780@unzz.edu,pino40,nevada,2004-09,1998-03
lauren,massey,lauren.massey476@protonmail.ch,aralk,tennessee,1997-04,2017-01
theresa,newton,theresa.newton1638@lavabit.io,tokiohotel123,,2003-02,2017-07
ralph,mcpherson,ralph.mcpherson@icloud.com,28041994h,missouri,1999-04,1995-02
madison,bush,madison.bush147@yahoo.com,23022001,new mexico,2013-07,2006-09
alan,blackburn,ptellez21@protonmail.ch,as123,nebraska,2015-08,1999-01
christine,owen,christine.owen692@icloud.com,0279,maryland,2006-11,2000-04
christine,whitehead,christine.whitehead510@icloud.com,unimog1,north dakota,2009-04,2009-09
sandra,stephenson,sandra.stephenson@unzz.edu,14092009,california,2008-03,2008-03
aaron,ross,aaron.ross1375@aol.com,flavia,south dakota,1997-09,1993-11
sara,castillo,sara.castillo2103@lavabit.io,111575,new jersey,2015-06,1990-09
arthur,shaffer,arthur.shaffer1138@unzz.edu,ganteng,texas,1992-08,1990-07
laura,reyes,ayj-Constantine3146@yahoo.com,bussed,oklahoma,2017-01,2000-09
jessica,woods,jessica.woods@yahoo.com,krikser,kansas,1994-05,1996-06
kimberly,cortez,kimberly.cortez1016@protonmail.ch,852456789,wyoming,1991-03,1999-09
michelle,howard,michelle.howard518@aol.com,1675sm,wisconsin,2009-09,1994-05
juan,lam,juan.lam306@gmail.com,665755,florida,2006-08,2009-04
john,kennedy,john.kennedy2102@yahoo.com,240984,ohio,2013-08,1994-02
victoria,allen,victoria.allen@secmail.pro,lleeoonn,illinois,2014-09,2012-01
brenda,smith,sito_saicko904@secmail.pro,durabrite,colorado,1997-09,1995-02
kevin,bush,kevin.bush1849@lavabit.io,121090m,georgia,2009-03,1994-04
anna,jacobson,anna.jacobson135@unzz.edu,070302,minnesota,1994-02,1991-08
carol,figueroa,carol.figueroa1596@protonmail.ch,grech,new york,2015-09,2002-07
jean,villarreal,jean.villarreal@unzz.edu,iXHnXFG189,wisconsin,2008-11,1990-07
patricia,knox,patricia.knox685@hotmail.com,panole,alabama,2008-04,2009-07
elizabeth,garner,elizabeth.garner1379@secmail.pro,cheec,south carolina,1992-09,1998-07
albert,galvan,danymax21@gmail.com,qaws123456,alabama,2013-07,2009-11
nicholas,pena,nicholas.pena1304@aol.com,60695,arkansas,2004-04,1996-10
arthur,davenport,arthur.davenport@hotmail.com,rai8,south carolina,2004-07,2015-11
beverly,calderon,beverly.calderon354@protonmail.ch,6041980,north dakota,2014-03,2012-07
david,yoder,david.yoder351@lavabit.io,phanthid,arkansas,2002-07,2014-03
stephanie,hubbard,stephanie.hubbard1157@gmail.com,290365,south dakota,2009-09,1997-01
catherine,mclean,catherine.mclean22@icloud.com,Minogue1,indiana,1997-08,2014-08
heather,shields,heather.shields@aol.com,121221f,virginia,2016-09,2016-11
virginia,rosas,virginia.rosas1107@protonmail.ch,dima666,arkansas,2005-11,1990-03
margaret,pope,margaret.pope650@aol.com,t730bh,arizona,2003-11,2000-03
nicole,romero,nicole.romero1248@unzz.edu,adeola,vermont,1999-02,2012-03
alexis,boyle,alexis.boyle1001@protonmail.ch,demchuk,wisconsin,2011-01,1995-03
carl,vo,carl.vo@icloud.com,dimka55,alabama,1997-10,2008-04
ralph,brown,ralph.brown1112@secmail.pro,180252,north carolina,1990-10,1999-06
joshua,gentry,wevergtonlabbate@gmail.com,MONTREAL,,2004-10,1994-06
danielle,vance,danielle.vance379@icloud.com,2700075,alabama,2011-10,2016-05
johnny,clements,johnny.clements1796@aol.com,0809200,illinois,2000-03,1994-11
susan,vance,susan.vance@unzz.edu,fate11,hawaii,2013-04,2007-11
vincent,brown,vincent.brown1768@lavabit.io,cvfhnajy,mississippi,1991-03,1998-01
sharon,kim,sharon.kim1639@yahoo.com,sdcdsl,colorado,2003-01,2017-08
zachary,french,zachary.french567@protonmail.ch,kzkz110508,georgia,2009-07,2002-09
judith,gonzales,laura.Germanotta@yahoo.com,ocoa,georgia,2007-01,1996-11
emily,felix,emily.felix@unzz.edu,javman,missouri,2005-01,2017-07
amanda,green,amanda.green1100@secmail.pro,dbzshojou,south carolina,2014-01,2015-11
cheryl,bernal,cheryl.bernal748@gmail.com,1486321,utah,1999-07,1994-03
rebecca,kramer,rebecca.kramer2003@protonmail.ch,Reebok1,wyoming,2017-02,1999-06
judy,jacobs,judy.jacobs642@yahoo.com,erh-huan,south dakota,2008-09,2003-05
jane,conner,jane.conner@gmail.com,Satann,rhode island,2008-07,2007-10
abigail,freeman,alexiswillames@unzz.edu,kj759,kansas,2000-01,2001-01
zachary,lugo,zachary.lugo577@lavabit.io,heiro,rhode island,2012-09,2010-07
gary,hensley,gary.hensley1380@secmail.pro,stefania,utah,1997-09,1997-01
deborah,cantu,deborah.cantu745@lavabit.io,alayne,utah,1994-02,2000-08
james,parra,james.parra@yahoo.com,avengedsevenfold,maine,2002-09,2005-11
brenda,glover,brenda.glover1872@aol.com,mrderk,wyoming,2007-03,2001-11
austin,best,austin.best1006@aol.com,50909010,new york,2013-07,2002-09
dylan,edwards,david.kdf@gmail.com,foxy77,,2000-10,1991-10
raymond,nash,raymond.nash2170@lavabit.io,wendall,minnesota,1992-11,1995-09
carol,montoya,carol.montoya@unzz.edu,22101995,nevada,1996-07,2013-10
rose,mullen,rose.mullen896@unzz.edu,REPUTACION1,delaware,1994-05,2013-06
keith,reed,keith.reed1568@unzz.edu,kinsale,indiana,2016-04,2016-01
marilyn,bartlett,marilyn.bartlett468@gmail.com,sigurd,tennessee,1999-01,2011-03
megan,shaffer,megan.shaffer303@hotmail.com,maya99,oklahoma,2011-04,2003-07
nicholas,hayden,nicholas.hayden@protonmail.ch,tang,kentucky,2011-11,2005-11
jennifer,hahn,jennifer.hahn2003@aol.com,wtp123,oklahoma,2015-06,2015-02
charles,chang,charles.chang387@yahoo.com,4281930,arkansas,1997-08,2006-08
